cle,Respondent_ID,weight,A9_1_slice,A9_2_slice,A9_3_slice,A9_4_slice,A9_5_slice,A9_6_slice,A9_7_slice,A9_8_slice,A9_9_slice,A9_10_slice,A9_11_slice,A9_12_slice,A9_13_slice,A9_14_slice,A9_15_slice,A9_16_slice,A10_1_slice,A10_2_slice,A10_3_slice,A10_4_slice,A10_5_slice,A10_6_slice,A10_7_slice,A10_8_slice,A11_1_slice,A11_2_slice,A11_3_slice,A11_4_slice,A11_5_slice,A11_6_slice,A11_7_slice,A11_8_slice,A11_9_slice,A11_10_slice,A11_11_slice,A11_12_slice,A11_13_slice,cluster
1,MET20_999999996,2.5012547902,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2,MET20_98888888,0.7229139838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3
3,MET20_1978307,1.0396114026,3,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
4,MET20_1302078,0.9765900354,1,2,2,2,3,2,3,2,1,2,1,3,3,1,2,3,2,2,3,2,2,3,2,3,2,2,1,2,1,2,3,3,3,2,2,1,2,0
5,MET20_1869308,0.8123145762,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
6,MET20_1829765,0.6947629021,3,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,2,2,3,2,3,2,2,3,2,2,2,3,2,2,2,3,3,2,2,3,3,1
7,MET20_1217616,1.3100912782,4,3,3,2,2,3,1,3,1,2,2,3,2,3,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
8,MET20_7007782,1.6081719674,1,2,2,2,3,2,2,2,1,1,1,1,2,2,2,2,2,1,3,2,2,4,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,3
9,MET20_1210371,0.8781347445,2,2,2,2,3,2,3,3,2,2,2,3,4,2,2,3,1,1,3,2,2,2,1,2,2,2,1,4,2,1,2,3,3,3,2,2,2,0
10,MET20_1879265,0.7631943152,1,3,4,2,3,1,2,2,3,2,2,2,2,1,2,3,1,1,2,1,1,4,4,2,1,1,1,1,1,1,2,1,2,2,2,3,3,3
11,MET20_639635,0.7397234366,2,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
12,MET20_1149132,0.9306511977,2,3,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,2,3,2,2,3,3,3,2,2,3,2,2,2,2,3,3,2,3,3,3,1
13,MET20_1120017,0.9765900354,4,4,4,4,3,2,1,4,4,2,1,4,4,3,4,2,1,2,3,4,2,4,3,1,2,3,1,3,1,3,2,3,4,1,2,2,1,1
14,MET20_1167688,0.6947629021,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4,2,2,3,2,2,3,2,2,1,1,1,2,1,1,2,2,2,2,3,2,2,1
15,MET20_80004501,0.9059973118,3,4,4,2,2,3,4,3,2,3,3,3,3,4,3,3,2,2,2,3,2,2,3,4,2,2,2,4,2,2,3,3,2,2,2,2,4,1
16,MET20_1152003,0.7980860057,3,3,3,2,2,2,2,4,2,3,2,4,4,3,3,3,1,2,3,3,2,2,3,2,2,2,2,2,1,2,1,3,2,2,2,2,2,1
17,MET20_4275,0.8247615439,1,3,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,3,1,2,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3
18,MET20_7001032,1.1244839825,2,2,1,2,3,2,2,2,2,2,3,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,3,2,2,3,1,2,2,2,3,2,2,0
19,MET20_0,0.9059973118,3,4,3,3,1,2,4,4,1,3,3,4,4,2,3,3,1,2,3,3,2,2,2,3,2,2,1,2,1,1,2,2,2,2,2,1,2,1
20,MET20_1617483,0.7631943152,4,4,3,4,2,3,4,4,4,4,4,4,4,3,3,4,2,3,2,3,3,1,3,2,3,2,3,2,3,2,3,4,3,3,3,3,3,2
21,MET20_80000221,0.8422381464,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,0
22,MET20_7003975,1.1614861152,4,4,4,4,3,2,4,4,2,4,3,4,4,2,4,4,4,2,2,4,4,2,4,4,2,2,4,2,2,2,2,4,2,4,4,4,4,2
23,MET20_253585,0.6182996491,2,3,3,4,4,1,2,3,2,3,1,4,4,1,2,3,1,1,1,2,1,2,1,2,1,1,1,3,2,2,1,1,2,1,2,1,1,0
24,MET20_7002950,1.0564869918,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
25,MET20_1268635,0.4572221819,2,2,3,3,3,1,2,3,3,3,3,2,4,1,1,4,2,1,2,1,1,2,1,3,1,2,2,2,3,1,2,3,2,3,2,2,2,0
26,MET20_652272,0.9643085747,2,2,2,2,3,2,4,2,3,2,2,2,3,2,2,3,1,1,2,2,2,2,1,3,2,2,2,2,1,2,1,2,2,2,3,1,2,0
27,MET20_7007952,1.2758879289,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
28,MET20_80006958,2.9605391895,2,3,3,3,3,2,2,3,2,3,2,3,3,2,3,2,1,2,2,2,2,3,2,2,1,2,2,3,2,2,1,2,2,2,2,1,2,0
29,MET20_7007667,0.6841663427,2,4,4,3,2,2,4,4,1,3,2,2,4,1,2,4,1,1,3,2,1,3,2,3,2,2,2,1,1,2,1,3,1,1,3,1,3,0
30,MET20_80000279,0.8556566041,2,3,4,4,4,2,1,3,2,2,1,4,3,2,2,4,1,1,2,1,1,4,4,2,1,2,1,2,1,2,1,1,2,1,1,2,2,0
31,MET20_1746209,0.8247615439,2,3,3,3,4,3,2,3,2,2,1,4,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
32,MET20_1030357,1.2999282972,2,2,3,2,3,2,3,2,2,3,2,3,2,1,2,3,2,2,3,2,2,3,2,2,3,2,2,3,1,3,3,3,3,2,2,2,3,0
33,MET20_1223119,0.8247615439,2,4,3,3,3,1,2,3,1,3,2,4,4,2,3,4,3,1,2,2,3,1,2,2,3,3,3,3,2,3,3,3,3,3,4,3,2,1
34,MET20_594952,1.0396114026,2,2,2,2,4,1,2,2,2,2,2,3,3,1,2,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0
35,MET20_7005991,0.8422381464,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3
36,MET20_7003129,1.1435070883,3,3,3,3,3,1,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
